statuses_count,followers_count,friends_count,favourites_count,listed_count,is_default_profile,is_profile_use_background_image,user_age,tweets_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,length_of_name,num_digits_in_name,description_length
38278,19692,3289,40071,335,0,1,4278,8.947639084,4.603085554,0.7688172040000001,9.366760168,0.07830762,5.987230161,10,0,11,0,136
97523,54632,3544,1563,1091,0,0,4583,21.27929304,11.92057604,0.773292603,0.341042985,0.238053677,15.41534989,13,2,13,2,156
13533,2835,1246,1217,95,0,1,4629,2.923525599,0.612443292,0.269172607,0.262907755,0.020522791,2.275280899,7,2,11,0,119
13159,13950,2009,9477,161,0,0,4256,3.091870301,3.277725564,0.4720394739999999,2.226738722,0.037828947,6.943753111,14,0,14,0,108
34670,19234,544,6587,121,1,1,3280,10.57012195,5.86402439,0.165853659,2.008231707,0.0368902439999999,35.35661765,6,0,16,0,159
73240,436845,92568,61705,3527,0,0,4740,15.45147679,92.16139241,19.52911392,13.01793249,0.744092827,4.719179414,11,0,13,0,78
12245,22958,478,6877,451,0,0,4257,2.876438807,5.392999765,0.1122856469999999,1.615456895,0.105943152,48.0292887,10,0,10,0,5
13403,5721,1348,4302,63,0,1,3723,3.60005372,1.536663981,0.362073597,1.155519742,0.016921837,4.244065282,9,0,10,0,134
8228,10472,1042,3483,126,0,1,3781,2.176143877,2.769637662,0.275588469,0.921184872,0.033324517,10.04990403,12,0,15,0,106
133925,40643,2518,55425,1230,0,1,4754,28.17101388,8.549221708,0.529659234,11.65860328,0.258729491,16.14098491,11,0,17,0,36
17008,5112,995,903,166,1,1,3854,4.413077322,1.326414115,0.258173326,0.234302024,0.043072133,5.137688442,12,2,10,0,129
1569,42221,147,1108,267,1,1,1041,1.507204611,40.558117200000005,0.141210375,1.064361191,0.25648415,287.21768710000003,13,0,16,0,137
45770,429693,44003,18510,5212,0,0,4380,10.44977169,98.10342466,10.04634703,4.226027397,1.189954338,9.765084199,5,0,5,0,25
40339,35138,7927,43082,1017,0,1,5117,7.883330076,6.866914208,1.549149893,8.419386358999999,0.1987492669999999,4.432698373,12,0,13,0,141
3313,57,1,0,4,0,0,1611,2.056486654,0.03538175,0.0006207319999999,0.0,0.00248293,57.0,11,0,17,0,67
57169,477752,627,7282,270,1,1,3849,14.85294882,124.1236685,0.162899454,1.891919979,0.07014809,761.9649122999999,10,0,16,0,41
5967,392,16,2,34,0,1,2242,2.661462979,0.1748438889999999,0.007136485,0.000892061,0.015165031,24.5,12,0,16,0,128
7828,920421,967,2337,7875,0,1,4332,1.807017544,212.4702216,0.22322253,0.539473684,1.817867036,951.8314374,12,0,13,0,68
6765,20995,4,0,343,1,1,1526,4.433158585,13.75819135,0.002621232,0.0,0.224770642,5248.75,13,0,14,0,144
2737,14335,262,392,108,0,1,4102,0.667235495,3.494636763,0.063871282,0.09556314,0.02632862,54.71374046,7,0,16,0,156
9269,3771,2130,2055,144,0,0,3700,2.505135135,1.019189189,0.575675676,0.555405405,0.0389189189999999,1.770422535,13,0,13,0,119
21278,8839,1281,13656,90,0,1,4215,5.048161329,2.097034401,0.303914591,3.2398576510000003,0.0213523129999999,6.900078064,6,0,30,0,157
5578,6488,1209,51589,247,0,1,4051,1.376943964,1.601579857,0.298444828,12.73488028,0.060972599,5.3664185280000005,13,0,20,0,141
9038,10503,854,8317,163,0,1,3997,2.261195897,2.627720791,0.213660245,2.080810608,0.040780585,12.29859485,13,0,10,0,105
25384,173703,1370,11351,1935,1,1,4337,5.852893705,40.05141803,0.315886558,2.617246945,0.446160941,126.79051090000002,15,0,16,0,132
4663,14,0,0,5,0,0,2019,2.309559188,0.006934126,0.0,0.0,0.0024764739999999,23524.0,13,0,14,0,45
